Timestamp,Sei iscritto/a alla Sapienza?, Qual è il sistema operativo mobile che utilizzi con più frequenza?,Seleziona il dipartimento a cui sei iscritto/a:,Nell'ambito dello studio quale dispositivo usi maggiormente?  ,Quali tra queste piattaforme hai utilizzato?,Quanto spesso utilizzi l'app di Infostud?,Ti piacerebbe ricevere delle notifiche riguardo gli annunci dei professori?,Ti piacerebbe poter scaricare eventuali slides ed esercizi di un corso?,Ti piacerebbe poter comunicare con colleghi e docenti tramite un forum?, Qual è il sistema operativo mobile che utilizzi con più frequenza?,Nell'ambito dello studio quale dispositivo usi maggiormente?  ,Quali tra queste piattaforme hai utilizzato?,Quanto spesso utilizzi l'app della tua università?,Ti piacerebbe ricevere delle notifiche riguardo gli annunci dei professori?,Ti piacerebbe poter scaricare eventuali slides ed esercizi di un corso?,Ti piacerebbe poter comunicare con colleghi e docenti tramite un forum?,"Nell'ambito di questa comunicazione, ti piacerebbe poterlo fare in maniera anonima?",Preferiresti che questo forum sia nascosto ai professori?,"Preferiresti essere iscritto automaticamente alle pagine dei corsi in base al tuo percorso di studi, oppure poterlo fare in autonomia, magari potendo accedere anche a pagine di anni precedenti?",Seleziona tra queste le funzionalità/sezioni che ritieni più utili riguardo a un corso:,Ti piacerebbe poter accedere a queste funzionalità/sezioni anche da una pagina web?,"Preferiresti essere iscritto automaticamente alle pagine dei corsi in base al tuo percorso di studi, oppure poterlo fare in autonomia, magari potendo accedere anche a pagine di anni precedenti?",Seleziona tra queste le funzionalità/sezioni che ritieni più utili riguardo a un corso:,Ti piacerebbe poter accedere a queste funzionalità/sezioni anche da una pagina web?
12/5/2021 12:22:44,Si,Android,Informatica,"Computer portatile, Tablet","Twiki, Sito del docente",3,"Si, dall'app di Infostud","Si, dall'app di Infostud","Si, dall'app di Infostud",,,,,,,,No,Si,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Diario delle lezioni, Modalità d'esame, Homework/esercizi assegnati, Programma del corso, Dispense, Esempi d'esame",No,,,
12/5/2021 12:23:24,Si,Android,Informatica,"Computer portatile, Smartphone","Moodle (e-learning), Twiki, Google Classroom",4,"Si, dall'app di Infostud","Si, dall'app di Infostud","Si, dall'app di Infostud",,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Programma del corso, Esempi d'esame",Si,,,
12/5/2021 12:25:04,No,,,,,,,,,Android,"Computer portatile, Smartphone","Moodle (e-learning), Google Classroom",4,"Si, dall'app dell'università","Si, dall'app dell'università",Si,Si,Si,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Diario delle lezioni, Homework/esercizi assegnati, Dispense",Si,,,
12/5/2021 12:38:03,Si,Android,Informatica,"Computer portatile, Smartphone","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",4,Si,Si,Si,,,,,,,,No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Visualizzare i partecipanti al corso, Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/5/2021 12:39:27,Si,Android,Informatica,"Computer portatile, Smartphone","Moodle (e-learning), Google Classroom, Sito del docente",4,"Si, dall'app di Infostud","Si, dall'app di Infostud","Si, dall'app di Infostud",,,,,,,,No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Diario delle lezioni, Modalità d'esame, Homework/esercizi assegnati, Lista dei libri di testo consigliati, Sondaggi",Si,,,
12/5/2021 12:48:34,Si,Android,Informatica,"Computer portatile, Smartphone","Moodle (e-learning), Google Classroom, Sito del docente",4,"Si, dall'app di Infostud","Si, dall'app di Infostud","Si, dall'app di Infostud",,,,,,,,No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia","Materiale didattico degli anni precedenti, Bacheca annunci del docente, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/5/2021 12:49:54,Si,Android,Informatica,"Computer portatile, Computer fisso","Moodle (e-learning), Twiki, Sito del docente, Nessuna delle precedenti",4,"Si, dall'app di Infostud","Si, dall'app di Infostud","Si, dall'app di Infostud",,,,,,,,No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia","Visualizzare i partecipanti al corso, Calendario didattico, Diario delle lezioni, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame",Si,,,
12/5/2021 12:55:57,Si,Android,Informatica,Computer portatile,"Moodle (e-learning), Twiki, Google Classroom",3,"Si, dall'app di Infostud",Si,Si,,,,,,,,No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Homework/esercizi assegnati, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/5/2021 12:58:06,Si,Android,Informatica,"Computer portatile, Smartphone","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",6,"Si, dall'app di Infostud","Si, dall'app di Infostud","Si, dall'app di Infostud",,,,,,,,No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia","Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame",Si,,,
12/5/2021 15:07:56,No,,,,,,,,,Android,Computer portatile,Microsoft Teams,3,"Si, dall'app dell'università","Si, dall'app dell'università","Si, dall'app dell'università",No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
